sample_id,site_id,site_name,city_cn,issue_date,target_date,target_refined_date_type,hour,actual_load,predicted_load
all_equivalent5_ext_20260313,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-07,2026-03-13,workday_w4,15,,0.4954380965497709
all_equivalent5_ext_20260313,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-07,2026-03-13,workday_w4,16,,0.4818367572128641
all_equivalent5_ext_20260313,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-07,2026-03-13,workday_w4,17,,0.4730487298862349
all_equivalent5_ext_20260313,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-07,2026-03-13,workday_w4,18,,0.48473522076133024
all_equivalent5_ext_20260313,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-07,2026-03-13,workday_w4,19,,0.9631349742360171
all_equivalent5_ext_20260313,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-07,2026-03-13,workday_w4,20,,1.0298145354816375
all_equivalent5_ext_20260313,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-07,2026-03-13,workday_w4,21,,0.838133870807592
all_equivalent5_ext_20260313,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-07,2026-03-13,workday_w4,22,,0.6966175590541019
all_equivalent5_ext_20260313,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-07,2026-03-13,workday_w4,23,,0.6516023666457644
all_equivalent5_ext_20260314,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-08,2026-03-14,weekend_w5,0,,1.915619280358791
all_equivalent5_ext_20260314,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-08,2026-03-14,weekend_w5,1,,1.329595834046124
all_equivalent5_ext_20260314,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-08,2026-03-14,weekend_w5,2,,1.0113087664593237
all_equivalent5_ext_20260314,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-08,2026-03-14,weekend_w5,3,,0.862583763682284
all_equivalent5_ext_20260314,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-08,2026-03-14,weekend_w5,4,,0.7492811151593082
all_equivalent5_ext_20260314,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-08,2026-03-14,weekend_w5,5,,0.7236928086793769
all_equivalent5_ext_20260314,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-08,2026-03-14,weekend_w5,6,,1.1521452412562012
all_equivalent5_ext_20260314,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-08,2026-03-14,weekend_w5,7,,1.3433223117939024
all_equivalent5_ext_20260314,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-08,2026-03-14,weekend_w5,8,,0.7005128308717699
